# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=Y; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
675.722490,1.7032543834e+10
676.398551,1.7009594590e+10
677.075288,1.6793536260e+10
677.752702,1.6965249975e+10
678.430793,1.7076628981e+10
679.109564,1.7168136266e+10
679.789013,1.6528263472e+10
680.469142,1.6796467696e+10
681.149951,1.6676194248e+10
681.831442,1.6852512675e+10
682.513614,1.6644644547e+10
683.196469,3.8151103167e+10
683.880008,3.2440744800e+10
684.564230,2.0130146675e+10
685.249136,1.7501109734e+10
685.934728,1.6505680232e+10
686.621006,4.7064145664e+10
687.307970,1.4238673750e+10
687.995622,1.7237539373e+10
688.683962,1.5983196661e+10
689.372990,2.0966483060e+10
690.062708,2.0141118836e+10
690.753116,1.5529933739e+10
691.444214,2.3644415714e+10
692.136005,1.6007773382e+10
692.828487,3.2430398030e+10
693.521662,1.5986108218e+10
694.215530,2.4042500314e+10
694.910093,3.5950887233e+10
695.605351,1.7643758966e+10
696.301304,1.6880031286e+10
696.997954,2.2330841316e+10
697.695300,2.2257504477e+10
698.393344,2.1943430563e+10
699.092087,1.6880619679e+10
699.791529,1.7058967236e+10
700.491670,1.9523100443e+10
701.192512,2.1341906054e+10
701.894056,1.5900634262e+10
702.596301,1.5915618646e+10
703.299248,1.6491653435e+10
704.002899,1.7998384444e+10
704.707254,2.0431875782e+10
705.412314,1.8391626442e+10
