# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=N; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
483.853645,5.6420996368e+09
484.337741,5.8185707338e+09
484.822321,5.8920492011e+09
485.307385,5.6252132978e+09
485.792936,5.4302554775e+09
486.278972,5.2577933110e+09
486.765494,5.4243545889e+09
487.252503,5.4014099142e+09
487.739999,5.5010998330e+09
488.227983,5.8571027845e+09
488.716455,5.5901965245e+09
489.205416,5.4266493359e+09
489.694866,5.6952547769e+09
490.184806,5.7115648612e+09
490.675236,5.9899959834e+09
491.166156,5.6080639149e+09
491.657568,5.7109319986e+09
492.149472,5.5305752859e+09
492.641867,5.5840093663e+09
493.134756,5.9388505433e+09
493.628137,5.6780804548e+09
494.122012,6.0973145251e+09
494.616381,5.7234743825e+09
495.111245,5.8483520690e+09
495.606604,6.0166490329e+09
496.102458,5.5943727977e+09
496.598809,5.9188614220e+09
497.095656,5.6596971654e+09
497.593000,5.8651511566e+09
498.090842,5.6848417759e+09
498.589182,5.4328026917e+09
499.088021,5.6949986708e+09
499.587358,5.8671291873e+09
500.087196,5.5106156260e+09
500.587533,5.4724401272e+09
501.088371,5.5296819723e+09
501.589710,5.4025682323e+09
502.091551,5.4058831337e+09
502.593893,5.4621391620e+09
503.096738,5.4898098084e+09
503.600087,5.5524889310e+09
504.103939,5.3273597955e+09
504.608295,5.6497794129e+09
505.113156,5.4056393243e+09
505.618521,5.6397212144e+09
506.124393,5.6632324513e+09
506.630770,5.5566159307e+09
507.137655,5.5299123883e+09
507.645046,5.5484648930e+09
508.152945,5.4809914626e+09
508.661352,5.4936648487e+09
509.170268,5.6707640696e+09
509.679693,5.6130908571e+09
510.189627,5.4641648170e+09
510.700072,5.5259604584e+09
511.211028,5.5783921087e+09
511.722494,5.6884989866e+09
512.234473,5.6556667769e+09
512.746963,5.4605022023e+09
513.259967,5.5501608789e+09
513.773483,5.6128309229e+09
514.287514,5.4868310569e+09
514.802059,5.5939073453e+09
515.317118,5.5928189131e+09
515.832693,5.6923768136e+09
516.348784,5.6875388995e+09
516.865391,5.2045946969e+09
517.382515,5.2297942355e+09
517.900156,5.7726160519e+09
518.418315,5.2529438638e+09
518.936993,6.8586793445e+09
519.456189,5.5721174342e+09
519.975905,1.4129234354e+10
520.496141,6.6424753447e+09
521.016898,6.0018484703e+09
521.538175,5.7765323115e+09
522.059974,6.0905748055e+09
522.582295,6.6469063682e+09
523.105139,6.1219192531e+09
523.628506,5.7665547200e+09
524.152396,7.2611541733e+09
524.676811,5.9118673571e+09
525.201750,6.3480281356e+09
525.727215,7.8169127589e+09
526.253205,6.0855167419e+09
526.779721,5.7310085058e+09
527.306764,5.6877719635e+09
527.834335,6.8463637384e+09
528.362433,5.8892718156e+09
528.891060,6.1353301024e+09
529.420215,6.3225680564e+09
529.949900,6.6280658311e+09
530.480115,6.1212542192e+09
531.010861,6.3521606536e+09
531.542137,6.8000736701e+09
532.073945,6.2199279581e+09
532.606285,6.3357988470e+09
533.139158,7.0088432707e+09
533.672564,6.1427750981e+09
534.206503,6.1167492478e+09
534.740977,6.2293813960e+09
535.275986,6.3994605857e+09
535.811529,6.4618392937e+09
536.347609,6.2235359408e+09
536.884225,6.2120718942e+09
537.421377,6.1494004128e+09
537.959068,6.2938417884e+09
538.497296,6.2629658038e+09
539.036062,6.3056936545e+09
539.575368,6.2583463832e+09
540.115213,6.2389030073e+09
540.655599,6.1289211622e+09
541.196525,6.2814583174e+09
541.737992,6.3192544805e+09
542.280001,6.3849766860e+09
542.822552,6.3708266604e+09
543.365646,6.2792203447e+09
543.909283,6.4403024968e+09
544.453465,6.5130486529e+09
544.998191,6.4429563159e+09
545.543461,6.4480457248e+09
546.089278,6.6633867458e+09
546.635640,6.5066582963e+09
547.182549,6.6539406554e+09
547.730005,6.4959708429e+09
548.278009,6.6726609556e+09
548.826562,6.6914265688e+09
549.375663,6.6958153918e+09
549.925313,6.8153940159e+09
550.475513,6.8381051795e+09
551.026264,6.8139779659e+09
551.577566,6.7645809661e+09
552.129420,6.9111157691e+09
552.681825,6.8549939446e+09
553.234783,6.8875281712e+09
553.788295,6.9445512544e+09
554.342360,8.7131368530e+09
554.896980,7.5687859410e+09
555.452154,7.0299209305e+09
556.007884,7.1385789374e+09
556.564170,8.8461953779e+09
557.121013,7.6150400314e+09
557.678413,3.2585301770e+11
558.236370,7.6259226503e+09
558.794885,8.5648828109e+09
559.353960,7.1364445472e+09
559.913594,7.8455579293e+09
560.473787,9.2813462788e+09
561.034541,7.3225536301e+09
561.595856,7.7377336510e+09
562.157733,7.3386042441e+09
562.720172,9.3160602846e+09
563.283174,7.4374448510e+09
563.846739,7.8087100695e+09
564.410867,7.8547082310e+09
564.975561,7.9873981355e+09
565.540819,7.4725594203e+09
566.106642,7.3992360449e+09
566.673032,7.9938900846e+09
567.239989,7.9971376129e+09
567.807512,7.6275830789e+09
568.375604,7.5972043418e+09
568.944264,7.5933114903e+09
569.513493,7.6773588520e+09
570.083291,7.9302134027e+09
570.653659,7.6852664948e+09
571.224598,7.5903596483e+09
571.796109,7.7591872525e+09
572.368191,7.8267291242e+09
572.940845,7.8706419239e+09
573.514073,7.8702030770e+09
574.087874,7.8869662098e+09
574.662249,7.9278069703e+09
575.237198,7.8949998807e+09
575.812723,7.9041678897e+09
576.388824,7.8599790823e+09
576.965501,7.9403086870e+09
577.542755,7.9185167137e+09
