source_file,charge_factor_raw,charge_factor_mean_one,unit,description
near\59v-17.5ns-15.0v\C2--C1--01151.trc,1.1329073430413092,1.0718795371184797,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01166.trc,1.1134358238796864,1.0534569158210267,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01180.trc,0.6465016361577953,0.6116756844834835,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01184.trc,1.22237859370357,1.1565311225586659,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01195.trc,1.0676818047714403,1.0101675884772734,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01201.trc,1.236932890917951,1.1703014043536055,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01208.trc,1.1102413789795964,1.0504345502746377,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01215.trc,1.2291587979394445,1.1629460886391292,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01219.trc,0.7206391763709487,0.6818195605691025,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01221.trc,1.2663175692574877,1.1981031796800894,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01243.trc,1.2398586573049564,1.1730695646448095,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01265.trc,0.8039703028675789,0.7606617799663092,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01279.trc,1.0479599140418705,0.9915080827055452,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01284.trc,0.9543080984660691,0.9029011323258134,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01285.trc,0.94833536931886,0.8972501440142201,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01303.trc,0.8206690319201739,0.776460976676706,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01307.trc,0.8829011662628625,0.8353407710066327,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01320.trc,0.858284581107303,0.812050239734106,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01328.trc,1.2364809286629581,1.1698737885422577,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01332.trc,1.2134180772456178,1.1480532939945851,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01349.trc,1.1578106311320944,1.0954413271231418,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
near\59v-17.5ns-15.0v\C2--C1--01356.trc,1.189467964466828,1.125393333357073,relative p.e. charge,empirical clean-SPE charge factor rescaled to exact mean one
