id,x_m,y_m,shape,size_m
295,-0.012900000438094139,-0.30750000476837164,Square,0.0244
296,-0.012900000438094139,-0.2816999852657318,Square,0.0244
297,0.012900000438094139,-0.35910001397132874,Square,0.0244
298,0.012900000438094139,-0.33329999446868896,Square,0.0244
299,0.012900000438094139,-0.30750000476837164,Square,0.0244
300,0.012900000438094139,-0.2816999852657318,Square,0.0244
301,0.03869999945163727,-0.35910001397132874,Square,0.0244
302,0.03869999945163727,-0.33329999446868896,Square,0.0244
303,0.03869999945163727,-0.30750000476837164,Square,0.0244
304,0.03869999945163727,-0.2816999852657318,Square,0.0244
305,0.06610000133514404,-0.35910001397132874,Square,0.0244
306,0.06610000133514404,-0.33329999446868896,Square,0.0244
307,0.06610000133514404,-0.30750000476837164,Square,0.0244
308,0.06610000133514404,-0.2816999852657318,Square,0.0244
309,0.09189999848604202,-0.35910001397132874,Square,0.0244
310,0.09189999848604202,-0.33329999446868896,Square,0.0244
311,0.09189999848604202,-0.30750000476837164,Square,0.0244
312,0.09189999848604202,-0.2816999852657318,Square,0.0244
313,0.1177000030875206,-0.35910001397132874,Square,0.0244
314,0.1177000030875206,-0.33329999446868896,Square,0.0244
315,0.1177000030875206,-0.30750000476837164,Square,0.0244
316,0.1177000030875206,-0.2816999852657318,Square,0.0244
317,0.14350000023841858,-0.35910001397132874,Square,0.0244
318,0.14350000023841858,-0.33329999446868896,Square,0.0244
319,0.14350000023841858,-0.30750000476837164,Square,0.0244
320,0.14350000023841858,-0.2816999852657318,Square,0.0244
321,0.1768999993801117,-0.35910001397132874,Square,0.0244
322,0.1768999993801117,-0.33329999446868896,Square,0.0244
323,0.1768999993801117,-0.30750000476837164,Square,0.0244
324,0.1768999993801117,-0.2816999852657318,Square,0.0244
325,0.20270000398159027,-0.35910001397132874,Square,0.0244
326,0.20270000398159027,-0.33329999446868896,Square,0.0244
327,0.20270000398159027,-0.30750000476837164,Square,0.0244
328,0.20270000398159027,-0.2816999852657318,Square,0.0244
329,0.22849999368190765,-0.35910001397132874,Square,0.0244
330,0.22849999368190765,-0.33329999446868896,Square,0.0244
331,0.22849999368190765,-0.30750000476837164,Square,0.0244
332,0.22849999368190765,-0.2816999852657318,Square,0.0244
333,0.25429999828338623,-0.35910001397132874,Square,0.0244
334,0.25429999828338623,-0.33329999446868896,Square,0.0244
335,0.25429999828338623,-0.30750000476837164,Square,0.0244
336,0.25429999828338623,-0.2816999852657318,Square,0.0244
337,0.2816999852657318,-0.35910001397132874,Square,0.0244
338,0.2816999852657318,-0.33329999446868896,Square,0.0244
339,0.2816999852657318,-0.30750000476837164,Square,0.0244
340,0.2816999852657318,-0.2816999852657318,Square,0.0244
341,0.30750000476837164,-0.35910001397132874,Square,0.0244
342,0.30750000476837164,-0.33329999446868896,Square,0.0244
343,0.30750000476837164,-0.30750000476837164,Square,0.0244
344,0.30750000476837164,-0.2816999852657318,Square,0.0244
345,0.33329999446868896,-0.35910001397132874,Square,0.0244
346,0.33329999446868896,-0.33329999446868896,Square,0.0244
347,0.33329999446868896,-0.30750000476837164,Square,0.0244
348,0.33329999446868896,-0.2816999852657318,Square,0.0244
349,0.35910001397132874,-0.35910001397132874,Square,0.0244
350,0.35910001397132874,-0.33329999446868896,Square,0.0244
351,0.35910001397132874,-0.30750000476837164,Square,0.0244
352,0.35910001397132874,-0.2816999852657318,Square,0.0244
353,0.3865000009536743,-0.35910001397132874,Square,0.0244
354,0.3865000009536743,-0.33329999446868896,Square,0.0244
355,0.3865000009536743,-0.30750000476837164,Square,0.0244
356,0.3865000009536743,-0.2816999852657318,Square,0.0244
357,0.4122999906539917,-0.35910001397132874,Square,0.0244
358,0.4122999906539917,-0.33329999446868896,Square,0.0244
359,0.4122999906539917,-0.30750000476837164,Square,0.0244
360,0.4122999906539917,-0.2816999852657318,Square,0.0244
361,0.43810001015663147,-0.35910001397132874,Square,0.0244
362,0.43810001015663147,-0.33329999446868896,Square,0.0244
363,0.43810001015663147,-0.30750000476837164,Square,0.0244
364,0.43810001015663147,-0.2816999852657318,Square,0.0244
365,0.46389999985694885,-0.35910001397132874,Square,0.0244
366,0.46389999985694885,-0.33329999446868896,Square,0.0244
367,0.46389999985694885,-0.30750000476837164,Square,0.0244
368,0.46389999985694885,-0.2816999852657318,Square,0.0244
369,-0.5746999979019165,-0.25429999828338623,Square,0.0244
370,-0.5746999979019165,-0.22849999368190765,Square,0.0244
371,-0.5746999979019165,-0.20270000398159027,Square,0.0244
372,-0.5746999979019165,-0.1768999993801117,Square,0.0244
373,-0.5489000082015991,-0.25429999828338623,Square,0.0244
374,-0.5489000082015991,-0.22849999368190765,Square,0.0244
375,-0.5489000082015991,-0.20270000398159027,Square,0.0244
376,-0.5489000082015991,-0.1768999993801117,Square,0.0244
377,-0.5231000185012817,-0.25429999828338623,Square,0.0244
378,-0.5231000185012817,-0.22849999368190765,Square,0.0244
379,-0.5231000185012817,-0.20270000398159027,Square,0.0244
380,-0.5231000185012817,-0.1768999993801117,Square,0.0244
381,-0.49729999899864197,-0.25429999828338623,Square,0.0244
382,-0.49729999899864197,-0.22849999368190765,Square,0.0244
383,-0.49729999899864197,-0.20270000398159027,Square,0.0244
384,-0.49729999899864197,-0.1768999993801117,Square,0.0244
385,-0.46389999985694885,-0.25429999828338623,Square,0.0244
386,-0.46389999985694885,-0.22849999368190765,Square,0.0244
